,algorithm,number of errors,maximum score error,response bandwidth,validation bandwidth,total bandwidth,computation time,communication time,delay time,total time
0,TPUT 20,0,0.0,637542571.4863813,207969898.21011674,845512469.696498,0.5719189047813416,0.7199661831415478,0.1524,1.4442850879228895
1,TPOR 20,0,0.0,91482.80155642024,32064156062.505836,32064247545.307392,8.154020369052887,26.92106427987883,0.15,35.22508464893172
2,KLEE 20,5,0.11402331907151564,104578885.75875486,176347547.57976654,280926433.3385214,0.3306848704814911,0.24476145441314262,0.2096,0.7850463248946338
3,BF 20,0,0.0,127743919.22178988,38745383.96887159,166489303.1906615,0.3508966863155365,0.13472629660389113,0.1492,0.6348229829194276
4,EF 20,20,7.023388297371241,68622.10116731518,916129.8677042802,984751.9688715953,0.39672642946243286,0.000824227029831392,0.1008,0.49835065649226423
5,VEF 20,1,0.006598295413320798,6081595.922178988,210605845.9766537,216687441.89883268,0.3256731331348419,0.20014965727903167,0.20600000000000002,0.7318227904138737
6,VPF 20,1,0.051501158792692125,37092707.51750973,14038478.817120623,51131186.334630355,0.1524377465248108,0.04286277273843496,0.15760000000000002,0.3529005192632458
7,TPUT 40,0,0.0,776315676.0466926,214783487.62645915,991099163.6731517,0.5267501473426819,0.8929912764043233,0.1576,1.5773414237470051
8,TPOR 40,0,0.0,182925.60311284047,32064064789.0428,32064247714.645912,8.321374207735062,26.921068042957366,0.15560000000000002,35.39804225069243
9,KLEE 40,9,0.12469113157767708,136722995.09727627,113154652.13229571,249877647.229572,0.43232351541519165,0.2231224758564631,0.2016,0.8570459912716548
10,BF 40,0,0.0,168868655.47081712,39528600.03112841,208397255.50194553,0.3598179221153259,0.16828403725724178,0.154,0.6821019593725678
11,EF 40,40,5.532618345738162,137204.20233463036,1832251.2684824902,1969455.4708171205,0.4599754512310028,0.0016482659057501165,0.10360000000000001,0.5652237171367529
12,VEF 40,1,0.03325223267530886,7991294.163424125,247054585.77431905,255045879.9377432,0.377836138010025,0.234953765763597,0.2096,0.822389903773622
13,VPF 40,0,0.0,48046120.0,27908506.023346305,75954626.0233463,0.17131730914115906,0.062170154876956416,0.15239999999999998,0.38588746401811547
14,TPUT 60,0,0.0,812450162.7081712,237978589.26070037,1050428751.9688716,0.5899050831794739,0.9594185366080414,0.15439999999999998,1.7037236197875152
15,TPOR 60,0,0.0,274368.4046692607,32063973515.579765,32064247883.984436,8.67515566945076,26.921071806035545,0.1564,35.7526274754863
16,KLEE 60,16,0.13047494813052452,145790691.90661478,189491344.17898834,335282036.0856031,0.4028295576572418,0.29653470019956796,0.2024,0.9017642578568098
17,BF 60,0,0.0,186576325.385214,43252277.91439689,229828603.29961088,0.3647865653038025,0.1855769404984003,0.1588,0.7091635058022028
18,EF 60,60,4.672568026813359,205786.3035019455,2748372.6692607002,2954158.9727626457,0.40203288197517395,0.0024723047816688198,0.1016,0.5061051867568428
19,VEF 60,2,0.019518252767014133,8583115.361867703,277274863.1906615,285857978.5525292,0.39000529050827026,0.26480779900181584,0.21239999999999998,0.867213089510086
20,VPF 60,2,0.019518252767014133,51112641.64980545,32798045.758754864,83910687.4085603,0.16219502687454224,0.06842833501634238,0.158,0.38862336189088464
21,TPUT 80,0,0.0,853072611.2684824,266377548.32684824,1119450159.5953307,0.563506692647934,1.0344958839422396,0.1572,1.7552025765901735
22,TPOR 80,0,0.0,365811.20622568094,32063882242.11673,32064248053.322956,8.700847417116165,26.92107556911365,0.156,35.77792298622982
23,KLEE 80,27,0.1202213485648147,155675801.63424125,182408363.10505837,338084164.73929965,0.4403987526893616,0.3009015700032856,0.20800000000000002,0.9493003226926471
24,BF 80,0,0.0,202837509.88326848,61903281.92996109,264740791.81322956,0.3741016983985901,0.21424581632442724,0.1604,0.7487475147230173
25,EF 80,80,4.446729278806451,274368.4046692607,3664494.0700389105,3938862.474708171,0.40818309783935547,0.0032963436575875653,0.0984,0.5098794414969431
26,VEF 80,2,0.019518252767014133,9242426.428015564,306864466.8015564,316106893.229572,0.4252944886684418,0.29435676437803726,0.2164,0.9360512530464791
27,VPF 80,1,0.03325223267530886,54722282.73929961,39520319.37743191,94242602.11673152,0.16435053944587708,0.07696031454907051,0.1544,0.3957108539949476
28,TPUT 100,0,0.0,894986130.5836576,225301822.87937742,1120287953.463035,0.5692332088947296,1.0541643168816255,0.15280000000000002,1.7761975257763551
29,TPOR 100,0,0.0,457254.00778210117,32063790968.653698,32064248222.66148,9.2330162525177,26.921079332191862,0.1524,36.306495584709566
30,KLEE 100,35,0.24830924452821357,166152039.06614786,189735722.5525292,355887761.618677,0.45468011498451233,0.3181668807553818,0.2028,0.9756469957398941
31,BF 100,0,0.0,218181205.57198444,64595916.82490272,282777122.3968872,0.3726714253425598,0.228781895210722,0.15360000000000001,0.7550533205532819
32,EF 100,100,4.770860747310633,342950.5058365759,4580615.470817121,4923565.976653697,0.41075995564460754,0.004120382533506266,0.1052,0.5200803381781138
33,VEF 100,4,0.027931163831711903,9953783.688715953,310461200.0622568,320414983.75097275,0.4112498164176941,0.3025206527667963,0.20400000000000001,0.9177704691844903
34,VPF 100,0,0.027931163831711903,58457746.583657585,47838363.019455254,106296109.60311285,0.1663264036178589,0.0869328700541288,0.152,0.40525927367198766
35, PF 20, 1, 0.009542083066573781, 87221117.91439688, 50889809.307393, 138110927.2217899, 0.3762977957725525, 0.11250443519446608, 0.15720000000000003, 0.6460022309670186
36, PF 40, 1, 0.0172629601143508, 92022017.4007782, 63600333.322957195, 155622350.7237354, 0.409892964363098, 0.12701726728854315, 0.1504, 0.6873102316516412
37, PF 60, 0, 0.0, 102847829.07392997, 98010064.80933852, 200857893.88326848, 0.422260332107544, 0.16456877531033293, 0.1596, 0.7464291074178768
38, PF 80, 1, 0.00815524416345692, 107466020.76264592, 116481519.19066148, 223947539.9533074, 0.4331505298614502, 0.18377236196662344, 0.1572, 0.7741228918280736
39, PF 100, 0, 0.0, 111517355.9844358, 135253363.1750973, 246770719.15953308, 0.45661333203315735, 0.2027747462364031, 0.15600000000000003, 0.8153880782695605
