,algorithm,number of errors,maximum score error,response bandwidth,validation bandwidth,total bandwidth,computation time,communication time,delay time,total time
0,TPUT 20,0,0.0,359260366.3501946,8736608.249027237,367996974.5992218,0.71077099442482,0.8338853242742759,0.1564,1.701056318699096
1,TPOR 20,0,0.0,94869.5719844358,48131944962.11673,48132039831.68871,13.897928178310394,40.50081959623001,0.152,54.550747774540405
2,KLEE 20,1,0.10601777850976069,164445556.5758755,7105096.420233463,171550652.99610895,0.5178976953029633,0.15245170947929143,0.2108,0.8811494047822547
3,BF 20,0,0.0,105084058.55252919,2392086.5369649804,107476145.08949417,0.6352086663246155,0.1650078930511025,0.15560000000000002,0.955816559375718
4,EF 20,20,19.171431843173995,71162.17898832685,875488.6225680934,946650.8015564202,0.6832442581653595,0.0007937460959792519,0.10720000000000002,0.7912380042613387
5,VEF 20,0,0.0,2851302.754863813,26475713.74319066,29327016.498054475,0.35338252782821655,0.06636047459610896,0.2056,0.6253430024243255
6,VPF 20,1,0.04740726387568972,17415520.52918288,1789520.8093385214,19205041.338521402,0.24902558326721191,0.0569145840947687,0.1548,0.4607401673619806
7,TPUT 40,0,0.0,439254563.01945525,16097364.295719845,455351927.3151751,0.5927083790302277,0.8990634276413315,0.156,1.6477718066715592
8,TPOR 40,0,0.0,189699.1439688716,48131850301.88327,48132040001.02724,13.75914990901947,40.500823359308185,0.15600000000000003,54.415973268327654
9,KLEE 40,8,0.12257473671910124,176252134.6303502,10161225.976653697,186413360.6070039,0.564197838306427,0.16605504036800628,0.2036,0.9338528786744333
10,BF 40,0,0.0,134649010.70817122,5028534.910505837,139677545.61867705,0.6212705671787262,0.21037468993411154,0.1612,0.9928452571128378
11,EF 40,40,15.966576831761731,142284.3579766537,1750968.7782101168,1893253.1361867704,0.6942081451416016,0.0015873040380458344,0.1016,0.7973954491796474
12,VEF 40,1,0.016324268011970622,3687445.571984436,38745228.38910506,42432673.96108949,0.3756157457828522,0.08353157282697796,0.20479999999999998,0.6639473186098301
13,VPF 40,2,0.022657860990918932,22128351.28404669,2657634.7392996107,24785986.0233463,0.23549476265907288,0.06694867270281021,0.156,0.45844343536188314
14,TPUT 60,0,0.0,566878758.0077821,7140135.470817121,574018893.4785992,0.6366032958030701,0.9610523959450064,0.1588,1.7564556917480765
15,TPOR 60,0,0.0,284528.7159533074,48131755641.6498,48132040170.36575,14.000647753477097,40.50082712238649,0.1592,54.660674875863585
16,KLEE 60,7,0.06902937941796194,190160595.3307393,9923429.976653697,200084025.30739298,0.6002366542816162,0.17990236525239914,0.206,0.9861390195340153
17,BF 60,0,0.0,170343424.6536965,5161016.902723735,175504441.55642024,0.6123488545417786,0.2613027565295288,0.1508,1.0244516110713073
18,EF 60,60,14.23740154352062,213406.53696498054,2628142.319066148,2841548.856031128,0.6971108913421631,0.0023822166882836076,0.1068,0.8062931080304467
19,VEF 60,0,0.0,5060984.186770428,51241220.60700389,56302204.79377432,0.3895229697227478,0.10460580581547772,0.20440000000000003,0.6985287755382256
20,VPF 60,1,0.0003282163060784882,30033818.552529182,4435613.0116731515,34469431.56420233,0.24612107872962952,0.08222325118063123,0.1564,0.48474432991026073
21,TPUT 80,0,0.0,650150586.4280156,9084124.762645915,659234711.1906615,0.7167107164859772,1.0205078131105925,0.1548,1.8920185295965697
22,TPOR 80,0,0.0,379358.2879377432,48131660981.41634,48132040339.704285,14.205071538686752,40.500830885464836,0.15600000000000003,54.86190242415159
23,KLEE 80,10,0.08356860707087188,201737285.75875485,9741815.73540856,211479101.4941634,0.6006130576133728,0.18999434566779025,0.2092,0.999807403281163
24,BF 80,0,0.0,195612292.38910505,6651178.957198444,202263471.3463035,0.6251520812511444,0.29687718387825335,0.1644,1.0864292651293979
25,EF 80,80,14.642176373668718,284528.7159533074,3505993.2140077823,3790521.9299610895,0.6799269318580627,0.003177671221789899,0.1016,0.7847046030798527
26,VEF 80,1,0.02140331561611375,6010482.210116732,65183016.6536965,71193498.86381324,0.42113935947418213,0.12179581351456983,0.21000000000000002,0.7529351729887519
